"","Year","MonthOfYear","DayOfMonth","HourOfDay","MinutesOfHour","Month","DayOfWeek","DayOfYear","Action"
"3",2017,9,26,12,5,"Sep","Tue",269,"Water"
"5",2017,9,26,15,45,"Sep","Tue",269,"Water"
"6",2017,9,26,17,31,"Sep","Tue",269,"Water"
"8",2017,9,26,19,12,"Sep","Tue",269,"Water"
"10",2017,9,26,19,33,"Sep","Tue",269,"Water"
"11",2017,9,26,21,8,"Sep","Tue",269,"Water"
"13",2017,9,27,0,5,"Sep","Wed",270,"Water"
"18",2017,9,27,13,39,"Sep","Wed",270,"Water"
"19",2017,9,27,13,48,"Sep","Wed",270,"Water"
"21",2017,9,27,18,12,"Sep","Wed",270,"Water"
"27",2017,9,28,12,25,"Sep","Thu",271,"Water"
"29",2017,9,28,20,23,"Sep","Thu",271,"Water"
"31",2017,9,29,9,32,"Sep","Fri",272,"Water"
"38",2017,9,29,22,5,"Sep","Fri",272,"Water"
"40",2017,9,29,23,9,"Sep","Fri",272,"Water"
"48",2017,10,1,15,8,"Oct","Sun",274,"Water"
"49",2017,10,1,16,5,"Oct","Sun",274,"Water"
"50",2017,10,1,17,3,"Oct","Sun",274,"Water"
"52",2017,10,1,18,43,"Oct","Sun",274,"Water"
"53",2017,10,1,20,9,"Oct","Sun",274,"Water"
"54",2017,10,1,21,58,"Oct","Sun",274,"Water"
"57",2017,10,2,0,28,"Oct","Mon",275,"Water"
"64",2017,10,2,14,20,"Oct","Mon",275,"Water"
"66",2017,10,2,22,47,"Oct","Mon",275,"Water"
"67",2017,10,3,1,11,"Oct","Tue",276,"Water"
"71",2017,10,3,21,42,"Oct","Tue",276,"Water"
"77",2017,10,4,11,33,"Oct","Wed",277,"Water"
"79",2017,10,4,14,24,"Oct","Wed",277,"Water"
"82",2017,10,5,7,54,"Oct","Thu",278,"Water"
"86",2017,10,5,21,38,"Oct","Thu",278,"Water"
"90",2017,10,6,15,2,"Oct","Fri",279,"Water"
"91",2017,10,6,16,0,"Oct","Fri",279,"Water"
"93",2017,10,6,21,37,"Oct","Fri",279,"Water"
"98",2017,10,7,11,59,"Oct","Sat",280,"Water"
"101",2017,10,7,13,46,"Oct","Sat",280,"Water"
"102",2017,10,7,15,39,"Oct","Sat",280,"Water"
"104",2017,10,8,9,7,"Oct","Sun",281,"Water"
"107",2017,10,8,13,16,"Oct","Sun",281,"Water"
"108",2017,10,8,15,47,"Oct","Sun",281,"Water"
"111",2017,10,8,16,40,"Oct","Sun",281,"Water"
"115",2017,10,9,10,33,"Oct","Mon",282,"Water"
"116",2017,10,9,10,59,"Oct","Mon",282,"Water"
"117",2017,10,9,11,26,"Oct","Mon",282,"Water"
"119",2017,10,9,16,16,"Oct","Mon",282,"Water"
"121",2017,10,9,18,31,"Oct","Mon",282,"Water"
"122",2017,10,9,20,59,"Oct","Mon",282,"Water"
"123",2017,10,9,22,28,"Oct","Mon",282,"Water"
"130",2017,10,10,17,4,"Oct","Tue",283,"Water"
"131",2017,10,10,17,4,"Oct","Tue",283,"Water"
"135",2017,10,10,22,28,"Oct","Tue",283,"Water"
"138",2017,10,11,12,38,"Oct","Wed",284,"Water"
"142",2017,10,11,16,23,"Oct","Wed",284,"Water"
"143",2017,10,11,16,58,"Oct","Wed",284,"Water"
"149",2017,10,12,10,10,"Oct","Thu",285,"Water"
"150",2017,10,12,11,23,"Oct","Thu",285,"Water"
"151",2017,10,12,11,36,"Oct","Thu",285,"Water"
"152",2017,10,12,11,43,"Oct","Thu",285,"Water"
"157",2017,10,12,17,52,"Oct","Thu",285,"Water"
"160",2017,10,13,1,7,"Oct","Fri",286,"Water"
"162",2017,10,13,12,16,"Oct","Fri",286,"Water"
"167",2017,10,13,15,33,"Oct","Fri",286,"Water"
"172",2017,10,14,9,19,"Oct","Sat",287,"Water"
"174",2017,10,14,17,23,"Oct","Sat",287,"Water"
"175",2017,10,14,18,7,"Oct","Sat",287,"Water"
"178",2017,10,14,19,34,"Oct","Sat",287,"Water"
"180",2017,10,14,21,17,"Oct","Sat",287,"Water"
"181",2017,10,14,22,11,"Oct","Sat",287,"Water"
"185",2017,10,15,10,50,"Oct","Sun",288,"Water"
"186",2017,10,15,11,50,"Oct","Sun",288,"Water"
"188",2017,10,15,19,18,"Oct","Sun",288,"Water"
"190",2017,10,15,21,11,"Oct","Sun",288,"Water"
"195",2017,10,16,10,21,"Oct","Mon",289,"Water"
"196",2017,10,16,13,22,"Oct","Mon",289,"Water"
